Question	Answer	Non-answer	Hint	Category
What does ADM Stand for ?	Architecture Development Method	Administrative|Application Development Methodology|Arrow Diagram Method|Adaptive Data Manager|Accenture Delivery Method|Amazon Device Messaging|Analysis Data Management|Action Description Memorandum|Application Delivery Management		Concept
What is the definition of architecture?	The fundamental concepts or properties of a system in its environment embodied in its elements, relationships,  and in the principles of its design and evolution.|The structure of components, their inter-relationships,  and the principles and guidelines governing their design  and evolution over time.	A set of rules and methods that describe the functionality, organization, and implementation of computer systems.|A specification describing how hardware and software technologies interact to create a computer platform or system.|A conceptual blueprint that defines the structure and operation of an organization.|Is a concept that focuses on components or elements of a structure or organization, that helps to implement a design.|The process of defining a collection of hardware and software components and their interfaces to establish the framework for the development of a computer system.|It defines an abstraction level at which the designers can specify the functional and performance behaviour of the system.		Definition
What is TOGAF?	An architecture framework for enterprise architecture|The Open Group Architecture Framework|A framework and method for architecture development	TOGA Fridays|To Go All Framework|To Get Architect Frameworks|Technical Growth Architecture Framework|The Open Guidance Asset Framework		Concept
What is not part of the 7 core concepts of TOGAF 9 Standard?	The gathering of requirements|The architecture contract|The refinement of requirements|The cyclic development	The definition of enterprise|The architecture domains|BDAT|The architecture development method|ADM|Deliverable, Artifacts, and Building Blocks|The enterprise continuum|The architect repository|The defining of architecture capabilities.		Concept
What is an enterprise ?	Highest level of description for an organization	A well-defined practice for conducting analysis, design, planning, and implementation, using a comprehensive approach at all times, for the successful development and execution of strategy.|a project or undertaking, typically one that is difficult or requires effort.|A business or company.|A for-profit business or company, but it is most often associated with entrepreneurial ventures.		Definition
Which is one of the Architecture Domains?	Business|Data|Application|Technology	Architecture|Technical|Data Warehousing,Solutions|Data Flow|Solution Building Blocks|Architecture Building Blocks|Reuse		Concept
What Phase is the Vision Phase?	Phase A	Preliminary Phase|Phase B|Phase C|Phase D|Phase E|Phase F|Phase G|Phase H|Requirements Management		Concept
What phase is concerned with defining "where, what, why, who, and how we do architecture" ?	Preliminary Phase	Preliminary Phase|Phase B|Phase C|Phase D|Phase E|Phase F|Phase G|Phase H|Requirements Management		Concept
In what phase are the architecture principles defined?	Preliminary Phase	Preliminary Phase|Phase B|Phase C|Phase D|Phase E|Phase F|Phase G|Phase H|Requirements Management		Concept
What is one of the Planning Phase?	Phase E|Phase F	Preliminary Phase|Phase B|Phase C|Phase D|Phase A|Phase G|Phase H|Requirements Management		Concept
What is one of the BDAT Stages?	Phase B|Phase C|Phase D	Preliminary Phase|Phase A|Phase E|Phase F|Phase G|Phase H|Requirements Management		Concept
What is the implementation Phase?	Phase G	Preliminary Phase|Phase B|Phase C|Phase D|Phase E|Phase F|Phase A|Phase H|Requirements Management		Concept
What is the change management phase?	Phase H	Preliminary Phase|Phase B|Phase C|Phase D|Phase E|Phase F|Phase G|Phase A|Requirements Management		Concept
Which stage is continuously ongoing?	Requirements Management	Preliminary Phase|Phase B|Phase C|Phase D|Phase E|Phase F|Phase G|Phase H		Concept
When is the architecture contract signed?	Phase G	Preliminary Phase|Phase B|Phase C|Phase D|Phase E|Phase F|Phase G|Phase H		ADM
What is *NOT* an Artifact?	An Architecture Contract|Phase A|A conceptual blueprint that defines the structure and operation of an organization.|A design specification that is to be fulfilled.|A contractually specified article that is formally reviewed|An agreement, signed off by the stakeholders.	A List|A Matrices|A Diagram|An architectural work product that describes an aspect of the architecture.		Definition
Which of the following are not true about building blocks?	ABB are implementation of SBB|ABB's are more specific than SBBs.|ABB's are defined in Phase E	Solution Building Blocks are named concepts that can be reused in other places|Architecture Building Blocks are named concepts that can be reused in other places| SBB are implementation of ABB| SBB's are more specific than ABBs.|ABB's capture requirements|ABB Are defined in the the A,B,C, and D phases| SBB are defined in phase E		Concept
What concept is used to classify items in the architecture repository?	Enterprise Continuum|Architecture Continuum|Solution Continuum	ADM|Phase H|Architecture Building Blocks|Reuse|The Architecture Domains|Phase G|Enterprise Quantification|Development Continuum		Concept
Order these concepts from Generic -> Specific	Foundation Architecture -> Common System Architecture -> Industry Architecture -> Organization Specific Architecture	Foundation Architecture -> Common System Architecture > Organization Specific Architecture -> Industry Architecture|Organization Specific Architecture ->  Industry Architecture -> Common System Architecture ->  Foundation Architecture|Organization Specific Architecture ->  Industry Architecture  ->  Foundation Architecture -> Common System Architecture|Industry Architecture  ->  Organization Specific Architecture ->  Foundation Architecture -> Common System Architecture|Common System Architecture -> Industry Architecture  ->  Organization Specific Architecture ->  Foundation Architecture|Common System Architecture -> Foundation Architecture -> Industry Architecture  ->  Organization Specific Architecture		Concept
The Architecture Repository contains	Architecture Metamodel|Architecture Capabilities|Architecture Landscape|Standard Information Base|SIB|Reference Library|Governance Log|Architecture Requirement Repository|Solution Landscape	Enterprise Landscape|Decision Log|Development Capabilities|Solution Contract|Architecture Contract|Enterprise Capabilities|Technology Capabilities|Enterprise Log|Application Log|Application Landscape		Concept
Define Abstraction	The technique of providing summarized or generalized descriptions of detailed and complex content.	The technique of providing summarized or generalized descriptions of detailed and complex content.|The core of the TOGAF framework. A multi-phase, iterative approach to develop and use an Enterprise Architecture to shape and govern business transformation and implementation projects.|A description of the structure and interaction of the applications as groups of capabilities that provide key business functions and manage the data assets.|An encapsulation of application functionality aligned to implementation structure, which is modular and replaceable. It encapsulates its behavior and data, provides services, and makes them available through interfaces.|The collection of technology components of hardware and software that provide the services used to support applications.|The combination of distinctive features related to the specific context within which architecture is performed or expressed; a collection of principles and characteristics that steer or constrain how an architecture is formed.|A constituent of the architecture model that describes a single aspect of the overall model.|A part of the Enterprise Continuum. A repository of architectural elements with increasing detail and specialization.|A conceptual structure used to plan, develop, implement, govern, and sustain an architecture.|The practice of monitoring and directing architecture-related work. The goal is to deliver desired outcomes and adhere to relevant principles, standards, and roadmaps.|The architectural representation of assets in use, or planned, by the enterprise at particular points in time.		definition
